user_id,exp_group,ctr
115383,3,0.15
10326,3,0.18
123580,3,0.2
131473,2,0.19
23985,2,0.27
24523,2,0.2
24239,2,0.24
19647,3,0.13
127588,2,0.16
6911,2,0.15
119153,2,0.17
15092,2,0.18
107670,3,0.18
126702,3,0.15
9682,3,0.18
118359,3,0.18
117805,3,0.38
126448,3,0.15
16699,3,0.17
122713,2,0.25
130614,2,0.12
16777,3,0.08
122429,2,0.16
16933,3,0.27
6011,2,0.13
17217,3,0.19
118761,2,0.32
10098,2,0.27
21315,3,0.21
112912,3,0.17
118049,2,0.28
112756,3,0.18
122599,3,0.33
130952,3,0.15
122361,3,0.14
108922,2,0.2
14030,3,0.18
108574,2,0.2
108716,2,0.16
2531,2,0.31
23567,3,0.18
10302,2,0.3
115423,2,0.15
131229,3,0.13
2385,2,0.0
131815,3,0.18
111764,3,0.34
122908,2,0.2
127848,3,0.18
118909,3,0.15
20347,2,0.11
15178,3,0.16
127172,3,0.06
20425,2,0.19
111949,3,0.3
131980,3,0.17
112127,3,0.38
131816,3,0.14
2852,2,0.23
24264,3,0.1
10289,2,0.5
115408,2,0.34
131104,3,0.13
112439,3,0.12
24022,3,0.08
20340,2,0.19
118976,3,0.17
118898,3,0.22
14569,3,0.18
19900,2,0.17
118008,2,0.19
1696,2,0.04
10191,2,0.22
113069,3,0.19
21324,3,0.11
118172,2,0.19
9479,2,0.13
113331,3,0.18
126957,2,0.21
16962,2,0.24
17136,2,0.2
25503,2,0.35
14245,3,0.16
25339,2,0.23
25161,2,0.27
14103,3,0.06
122358,3,0.23
130201,3,0.17
122686,3,0.15
109273,2,0.21
16440,2,0.2
5478,3,0.1
125993,3,0.18
1658,3,0.13
126463,3,0.21
20616,2,0.11
20972,2,0.24
113421,2,0.19
126689,3,0.2
25121,3,0.26
17048,3,0.21
130343,2,0.35
16464,3,0.22
131055,2,0.47
24973,3,0.23
13573,2,0.39
24667,3,0.42
10787,3,0.39
123309,3,0.23
123167,3,0.26
111909,2,0.07
2600,3,0.22
123081,3,0.3
24438,2,0.17
2272,3,0.19
115566,3,0.17
10639,3,0.18
131372,2,0.41
123571,3,0.23
131486,2,0.32
131322,2,0.23
23656,2,0.23
7060,2,0.27
15263,2,0.22
119556,2,0.32
14821,2,0.21
127933,2,0.29
19458,3,0.13
113913,2,0.17
114077,2,0.17
9037,3,0.29
22478,2,0.27
8503,3,0.16
125451,3,0.2
117604,3,0.16
117248,3,0.21
125807,3,0.18
8417,3,0.25
316,3,0.21
129407,2,0.23
18198,3,0.14
13095,2,0.4
26315,3,0.19
17772,3,0.16
12783,2,0.24
121560,2,0.2
129975,2,0.18
12345,2,0.09
124231,3,0.21
110763,2,0.13
124405,3,0.21
22658,2,0.26
132112,2,0.18
116448,3,0.21
22576,2,0.15
116612,3,0.21
7706,2,0.19
120212,2,0.33
128073,2,0.19
16035,2,0.21
106611,3,0.17
18976,3,0.0
7606,2,0.21
128855,2,0.25
7428,2,0.12
128563,2,0.1
115776,2,0.22
3608,2,0.2
116004,2,0.08
11533,2,0.25
116574,2,0.16
132380,3,0.1
111471,3,0.28
19016,2,0.21
106879,2,0.19
120710,3,0.15
120628,3,0.15
128831,3,0.21
15537,3,0.19
22292,3,0.21
113809,3,0.21
106294,3,0.18
114265,3,0.17
117466,2,0.15
117694,2,0.22
117516,2,0.24
13309,3,0.3
109641,2,0.15
109819,2,0.2
121346,3,0.22
129901,3,0.2
110209,2,0.15
121520,3,0.18
130015,3,0.16
25707,2,0.26
110423,2,0.33
25817,2,0.21
129545,3,0.22
12679,3,0.14
21857,3,0.31
114262,3,0.2
22221,3,0.24
22299,3,0.31
129542,3,0.23
110424,2,0.21
17849,2,0.13
25856,2,0.2
129890,3,0.11
17941,2,0.17
129450,3,0.26
129304,3,0.2
109638,2,0.24
129148,3,0.22
22615,3,0.13
124762,2,0.18
22913,3,0.22
116561,2,0.25
3181,2,0.17
22835,3,0.18
116121,2,0.24
23085,3,0.33
128816,3,0.22
18923,2,0.24
128596,3,0.12
15834,3,0.32
15720,3,0.22
18777,2,0.15
19345,2,0.0
106946,2,0.08
19235,2,0.41
128504,3,0.16
15990,3,0.14
19015,2,0.2
19189,2,0.15
23017,2,0.23
132475,2,0.23
124722,3,0.11
111212,2,0.17
124410,3,0.37
124232,3,0.13
115751,3,0.25
23443,2,0.21
12048,3,0.09
18819,3,0.07
15460,2,0.19
128856,2,0.33
106620,3,0.06
19101,3,0.09
16044,2,0.29
128070,2,0.19
125906,3,0.26
385,3,0.17
125444,3,0.27
21947,2,0.23
21769,2,0.18
9200,3,0.17
125132,3,0.24
8742,3,0.26
841,3,0.36
26074,3,0.2
121779,2,0.24
121289,2,0.16
109724,3,0.17
4899,2,0.28
123046,2,0.18
24491,3,0.13
11162,2,0.21
122900,2,0.12
114719,2,0.33
131677,3,0.15
131823,3,0.22
23559,3,0.18
23907,3,0.18
123612,2,0.2
131395,3,0.29
123502,2,0.35
112432,3,0.15
6701,3,0.23
14996,3,0.26
127954,3,0.21
9758,2,0.15
126196,2,0.32
1557,2,0.25
21497,3,0.17
9472,2,0.21
126524,2,0.08
126808,2,0.28
13940,3,0.34
130092,3,0.18
108914,2,0.19
24628,2,0.24
130646,3,0.23
13326,3,0.15
113008,2,0.3
21393,2,0.14
112660,2,0.21
21237,2,0.17
9846,3,0.27
126548,3,0.17
130294,2,0.24
17403,3,0.2
25236,3,0.22
6081,2,0.17
13852,2,0.13
109238,3,0.23
109522,3,0.27
123160,3,0.19
10902,3,0.23
123306,3,0.36
131719,2,0.2
131921,2,0.14
115213,3,0.16
115391,3,0.26
127346,2,0.17
127140,2,0.16
127710,2,0.31
119555,2,0.0
127752,2,0.21
108260,3,0.2
